t,L,a_w,a_b,temp
8650000,1.18,0.561051,0,14.8481
8700000,1.17,0.552089,0,14.6825
8750000,1.16,0.54282,0,14.5242
8800000,1.15,0.533238,0,14.373
8850000,1.14,0.523338,0,14.2289
8900000,1.13,0.513114,0,14.0917
8950000,1.12,0.50256,0,13.9614
9000000,1.11,0.491669,0,13.8379
9050000,1.1,0.480437,0,13.721
9100000,1.09,0.468855,0,13.6106
9150000,1.08,0.456916,0,13.5068
9200000,1.07,0.444612,0,13.4093
9250000,1.06,0.431937,0,13.3182
9300000,1.05,0.41888,0,13.2333
9350000,1.04,0.405434,0,13.1545
9400000,1.03,0.391588,0,13.0818
9450000,1.02,0.377333,0,13.0151
9500000,1.01,0.36266,0,12.9543
9550000,1,0.347555,0,12.8995
9600000,0.99,0.332009,0,12.8504
9650000,0.98,0.316009,0,12.8071
9700000,0.97,0.299542,0,12.7696
9750000,0.96,0.282594,0,12.7378
9800000,0.95,0.265152,0,12.7116
9850000,0.94,0.247199,0,12.6911
9900000,0.93,0.228721,0,12.6762
9950000,0.92,0.209702,0,12.6669
10000000,0.91,0.190121,0,12.6632
10050000,0.9,0.169962,0,12.6651
10100000,0.89,0.149204,0,12.6727
10150000,0.88,0.127827,0,12.6859
10200000,0.87,0.105806,0,12.7048
10250000,0.86,0.0831207,0,12.7294
10300000,0.85,0.059744,0,12.7598
10350000,0.84,0.0356518,0,12.7959
10400000,0.83,0.0108139,0,12.838
10450000,0.82,0,0,12.3596
10500000,0.81,0,0,11.4856
10550000,0.8,0,0,10.6035
10600000,0.79,0,0,9.71304
10650000,0.78,0,0,8.8141
10700000,0.77,0,0,7.90648
10750000,0.76,0,0,6.98997
10800000,0.75,0,0,6.06437
10850000,0.74,0,0,5.12947
10900000,0.73,0,0,4.18504
10950000,0.72,0,0,3.23086
11000000,0.71,0,0,2.26669
11050000,0.7,0,0,1.29228
11100000,0.69,0,0,0.307369
11150000,0.68,0,0,-0.688303
11200000,0.67,0,0,-1.69501
11250000,0.66,0,0,-2.71306
11300000,0.65,0,0,-3.74274
11350000,0.64,0,0,-4.78438
11400000,0.63,0,0,-5.83829
11450000,0.62,0,0,-6.90483
11500000,0.61,0,0,-7.98435
11550000,0.6,0,0,-9.07722
11600000,0.59,0,0,-10.1838
11650000,0.58,0,0,-11.3046
11700000,0.57,0,0,-12.44
11750000,0.56,0,0,-13.5904
11800000,0.55,0,0,-14.7563
11850000,0.54,0,0,-15.9382
11900000,0.53,0,0,-17.1367
11950000,0.52,0,0,-18.3522
12000000,0.51,0,0,-19.5854
12050000,0.5,0,0,-20.8369
