t,L,a_w,a_b,temp
9400000,1.03,0,0,29.0984
9450000,1.02,0,0,28.3624
9500000,1.01,0,0,27.6211
9550000,1,0,0,26.8742
9600000,0.99,0,0,26.1217
9650000,0.98,0,0,25.3634
9700000,0.97,0,0,24.5994
9750000,0.96,0,0,23.8294
9800000,0.95,0,0,23.0533
9850000,0.94,0,0,22.2712
9900000,0.93,0,0,21.4827
9950000,0.92,0,0,20.6879
10000000,0.91,0,0,19.8865
10050000,0.9,0,0,19.0786
10100000,0.89,0,0,18.2638
10150000,0.88,0,0,17.4422
10200000,0.87,0,0,16.6136
10250000,0.86,0,0,15.7777
10300000,0.85,0,0,14.9346
10350000,0.84,0,0,14.0839
10400000,0.83,0,0,13.2257
10450000,0.82,0,0,12.3596
10500000,0.81,0,0,11.4856
10550000,0.8,0,0,10.6035
10600000,0.79,0,0,9.71304
10650000,0.78,0,0,8.8141
10700000,0.77,0,0,7.90648
10750000,0.76,0,0,6.98997
10800000,0.75,0,0,6.06437
10850000,0.74,0,0,5.12947
10900000,0.73,0,0,4.18504
10950000,0.72,0,0,3.23086
11000000,0.71,0,0,2.26669
11050000,0.7,0,0,1.29228
11100000,0.69,0,0,0.307369
11150000,0.68,0,0,-0.688303
11200000,0.67,0,0,-1.69501
11250000,0.66,0,0,-2.71306
11300000,0.65,0,0,-3.74274
11350000,0.64,0,0,-4.78438
11400000,0.63,0,0,-5.83829
11450000,0.62,0,0,-6.90483
11500000,0.61,0,0,-7.98435
11550000,0.6,0,0,-9.07722
11600000,0.59,0,0,-10.1838
11650000,0.58,0,0,-11.3046
11700000,0.57,0,0,-12.44
11750000,0.56,0,0,-13.5904
11800000,0.55,0,0,-14.7563
11850000,0.54,0,0,-15.9382
11900000,0.53,0,0,-17.1367
11950000,0.52,0,0,-18.3522
12000000,0.51,0,0,-19.5854
12050000,0.5,0,0,-20.8369
