t,L,a_w,a_b,l_w,l_b,temp
635000,1.64,0,0,nan,nan,70.5163
640000,1.63,0,0,nan,nan,69.9914
645000,1.62,0,0,nan,nan,69.4642
650000,1.61,0,0,nan,nan,68.9344
655000,1.6,0,0,nan,nan,68.4023
660000,1.59,0,0,nan,nan,67.8676
665000,1.58,0,0,nan,nan,67.3303
670000,1.57,0,0,nan,nan,66.7906
675000,1.56,0,0,nan,nan,66.2482
680000,1.55,0,0,nan,nan,65.7032
685000,1.54,0,0,nan,nan,65.1556
690000,1.53,0,0,nan,nan,64.6053
695000,1.52,0,0,nan,nan,64.0523
700000,1.51,0,0,nan,nan,63.4966
705000,1.5,0,0,nan,nan,62.9381
710000,1.49,0,0,nan,nan,62.3768
715000,1.48,0,0,nan,nan,61.8126
720000,1.47,0,0,nan,nan,61.2456
725000,1.46,0,0,nan,nan,60.6757
730000,1.45,0,0,nan,nan,60.1029
735000,1.44,0,0,nan,nan,59.5271
740000,1.43,0,0,nan,nan,58.9483
745000,1.42,0,0,nan,nan,58.3664
750000,1.41,0,0,nan,nan,57.7815
755000,1.4,0,0,nan,nan,57.1934
760000,1.39,0,0,nan,nan,56.6022
765000,1.38,0,0,nan,nan,56.0078
770000,1.37,0,0,nan,nan,55.4101
775000,1.36,0,0,nan,nan,54.8092
780000,1.35,0,0,nan,nan,54.2049
785000,1.34,0,0,nan,nan,53.5973
790000,1.33,0,0,nan,nan,52.9863
795000,1.32,0,0,nan,nan,52.3718
800000,1.31,0,0,nan,nan,51.7538
805000,1.3,0,0,nan,nan,51.1322
810000,1.29,0,0,nan,nan,50.5071
815000,1.28,0,0,nan,nan,49.8783
820000,1.27,0,0,nan,nan,49.2458
825000,1.26,0,0,nan,nan,48.6096
830000,1.25,0,0,nan,nan,47.9696
835000,1.24,0,0,nan,nan,47.3257
840000,1.23,0,0,nan,nan,46.6779
845000,1.22,0,0,nan,nan,46.0262
850000,1.21,0.000185193,0,0,nan,45.3662
855000,1.2,0.00124495,0,0.235803,nan,44.6812
860000,1.19,0.0197034,0,0.291526,nan,43.5777
865000,1.18,0.596488,0,4.70959,nan,15.9538
870000,1.17,0.587615,0,4.73274,nan,15.7405
875000,1.16,0.578664,0,4.75368,nan,15.5322
880000,1.15,0.569324,0,4.77658,nan,15.3332
885000,1.14,0.559587,0,4.80166,nan,15.1431
890000,1.13,0.549442,0,4.82919,nan,14.962
895000,1.12,0.538879,0,4.85947,nan,14.7897
900000,1.11,0.527887,0,4.89285,nan,14.6262
905000,1.1,0.516453,0,4.92973,nan,14.4712
910000,1.09,0.504566,0,4.97056,nan,14.3247
915000,1.08,0.492213,0,5.01591,nan,14.1866
920000,1.07,0.479379,0,5.0664,nan,14.0568
925000,1.06,0.46605,0,5.12278,nan,13.9351
930000,1.05,0.452214,0,5.18593,nan,13.8215
935000,1.04,0.437854,0,5.25687,nan,13.7157
940000,1.03,0.422959,0,5.33678,nan,13.6178
945000,1.02,0.407529,0,5.42688,nan,13.5273
950000,1.01,0.391581,0,5.52815,nan,13.4438
955000,1,0.375178,0,5.64071,nan,13.3663
960000,0.99,0.358477,0,5.76246,nan,13.2929
965000,0.98,0.341727,0,5.8879,nan,13.2206
970000,0.97,0.325192,0,6.00944,nan,13.1471
975000,0.96,0.308673,0,6.1319,nan,13.0747
980000,0.95,0.292027,0,6.2606,nan,13.0038
985000,0.94,0.275495,0,6.3883,nan,12.9315
990000,0.93,0.259125,0,6.51189,nan,12.8577
995000,0.92,0.242526,0,6.64619,nan,12.7864
1000000,0.91,0.226058,0,6.77888,nan,12.7123
1005000,0.9,0.20977,0,6.90585,nan,12.6353
1010000,0.89,0.193257,0,7.04539,nan,12.5604
1015000,0.88,0.176871,0,7.1839,nan,12.4813
1020000,0.87,0.160647,0,7.31675,nan,12.3979
1025000,0.86,0.144238,0,7.46458,nan,12.3152
1030000,0.85,0.128036,0,7.60813,nan,12.2248
1035000,0.84,0.111825,0,7.75669,nan,12.1323
1040000,0.83,0.095733,0,7.91272,nan,12.0307
1045000,0.82,0.079886,0,8.0622,nan,11.9185
1050000,0.81,0.0640455,0,8.23256,nan,11.7997
1055000,0.8,0.0486628,0,8.39432,nan,11.6594
1060000,0.79,0.0335596,0,8.57661,nan,11.5012
1065000,0.78,0.0192644,0,8.75285,nan,11.3025
1070000,0.77,0.00673875,0,8.90117,nan,11.0133
1075000,0.76,0.000349821,0,9,nan,10.4084
1080000,0.75,0,0,nan,nan,9.48911
1085000,0.74,0,0,nan,nan,8.54273
1090000,0.73,0,0,nan,nan,7.58671
1095000,0.72,0,0,nan,nan,6.62082
1100000,0.71,0,0,nan,nan,5.64483
1105000,0.7,0,0,nan,nan,4.65846
1110000,0.69,0,0,nan,nan,3.66146
1115000,0.68,0,0,nan,nan,2.65357
1120000,0.67,0,0,nan,nan,1.6345
1125000,0.66,0,0,nan,nan,0.603963
1130000,0.65,0,0,nan,nan,-0.438358
1135000,0.64,0,0,nan,nan,-1.49278
1140000,0.63,0,0,nan,nan,-2.55962
1145000,0.62,0,0,nan,nan,-3.63924
1150000,0.61,0,0,nan,nan,-4.73201
1155000,0.6,0,0,nan,nan,-5.83829
1160000,0.59,0,0,nan,nan,-6.95849
1165000,0.58,0,0,nan,nan,-8.09303
1170000,0.57,0,0,nan,nan,-9.24232
1175000,0.56,0,0,nan,nan,-10.4068
1180000,0.55,0,0,nan,nan,-11.5871
1185000,0.54,0,0,nan,nan,-12.7835
1190000,0.53,0,0,nan,nan,-13.9967
1195000,0.52,0,0,nan,nan,-15.2271
1200000,0.51,0,0,nan,nan,-16.4755
1205000,0.5,0,0,nan,nan,-17.7423
