t,L,a_w,a_b,a_g,temp
7100000,1.49,0,0,0,58.3108
7150000,1.48,0,0,0,57.7535
7200000,1.47,0,0,0,57.1934
7250000,1.46,0,0,0,56.6304
7300000,1.45,0,0,0,56.0645
7350000,1.44,0,0,0,55.4957
7400000,1.43,0,0,0,54.9239
7450000,1.42,0,0,0,54.3491
7500000,1.41,0,0,0,53.7713
7550000,1.4,0,0,0,53.1903
7600000,1.39,0,0,0,52.6063
7650000,1.38,0,0,0,52.0191
7700000,1.37,0,0,0,51.4287
7750000,1.36,0,0,0,50.835
7800000,1.35,0,0,0,50.2381
7850000,1.34,0,0,0,49.6378
7900000,1.33,0,0,0,49.0342
7950000,1.32,0,0,0,48.4272
8000000,1.31,0,0,0,47.8167
8050000,1.3,0,0,0,47.2026
8100000,1.29,0,0,0,46.5851
8150000,1.28,0,0,0,45.9639
8200000,1.27,0,0,0,45.3391
8250000,1.26,0,0,0,44.7106
8300000,1.25,0,0,0,44.0783
8350000,1.24,0,0,0,43.4423
8400000,1.23,0,0,0,42.8023
8450000,1.22,0.448907,0,0.244841,22.7543
8500000,1.21,0.434564,0,0.259185,22.8263
8550000,1.2,0.419959,0,0.27379,22.8993
8600000,1.19,0.405078,0,0.288671,22.9737
8650000,1.18,0.389913,0,0.303837,23.0496
8700000,1.17,0.374455,0,0.319296,23.1269
8750000,1.16,0.358695,0,0.335055,23.2057
8800000,1.15,0.342626,0,0.351124,23.286
8850000,1.14,0.326238,0,0.367513,23.368
8900000,1.13,0.30952,0,0.384231,23.4515
8950000,1.12,0.292463,0,0.401288,23.5368
9000000,1.11,0.275057,0,0.418695,23.6238
9050000,1.1,0.25729,0,0.436462,23.7126
9100000,1.09,0.239143,0,0.454608,23.8037
9150000,1.08,0.22062,0,0.473131,23.8963
9200000,1.07,0.2017,0,0.492051,23.9908
9250000,1.06,0.18238,0,0.51137,24.0871
9300000,1.05,0.162629,0,0.531121,24.1859
9350000,1.04,0.142441,0,0.551309,24.2867
9400000,1.03,0.121794,0,0.571955,24.3902
9450000,1.02,0.100688,0,0.593062,24.4957
9500000,1.01,0.0790999,0,0.614651,24.6036
9550000,1,0.0570421,0,0.636714,24.7127
9600000,0.99,0.0345957,0,0.659188,24.8197
9650000,0.98,0.0130001,0,0.681027,24.8774
9700000,0.97,0.00257574,0,0.693375,24.5035
9750000,0.96,0,0,0.698255,23.8294
9800000,0.95,0,0,0.699696,23.0533
9850000,0.94,0,0,0.699944,22.2712
9900000,0.93,0,0,0.698979,21.4827
9950000,0.92,0,0.00139836,0.695496,20.7392
10000000,0.91,0,0.00717511,0.687125,20.1489
10050000,0.9,0,0.0290419,0.664652,20.1332
10100000,0.89,0,0.0560102,0.637745,20.282
10150000,0.88,0,0.0832044,0.610546,20.417
10200000,0.87,0,0.111165,0.582584,20.5567
10250000,0.86,0,0.139905,0.553845,20.7006
10300000,0.85,0,0.169436,0.524314,20.8482
10350000,0.84,0,0.199792,0.493959,20.9996
10400000,0.83,0,0.231029,0.462722,21.1558
10450000,0.82,0,0.263187,0.430565,21.3168
10500000,0.81,0,0.296283,0.397468,21.4823
10550000,0.8,0,0.330374,0.363377,21.6527
10600000,0.79,0,0.365504,0.328246,21.8284
10650000,0.78,0,0.401724,0.292026,22.0095
10700000,0.77,0,0.439085,0.254665,22.1963
10750000,0.76,0,0.477628,0.216122,22.3888
10800000,0.75,0,0.517452,0.1763,22.5882
10850000,0.74,0,0.558582,0.135168,22.794
10900000,0.73,0,0.601139,0.0926052,23.0078
10950000,0.72,0,0.645146,0.0485938,23.2287
11000000,0.71,0,0.6848,0.00957798,23.2949
