t,L,a_w,a_b,temp
540000,1.57,0,0,62.6711
545000,1.58,0,0,63.2044
550000,1.59,0,0,63.7351
555000,1.6,0,0,64.2633
560000,1.61,0,0,64.789
565000,1.62,0,0,65.3123
570000,1.63,0,0,65.8332
575000,1.64,0,0,66.3517
580000,1.65,0,0,66.8678
585000,1.66,0,0,67.3816
590000,1.67,0,0,67.8931
595000,1.68,0,0,68.4023
600000,1.69,0,0,68.9092
605000,1.7,0,0,69.4138
610000,1.69,0,0,68.9092
615000,1.68,0,0,68.4023
620000,1.67,0,0,67.8931
625000,1.66,0,0,67.3816
630000,1.65,0,0,66.8678
635000,1.64,0,0,66.3517
640000,1.63,0,0,65.8332
645000,1.62,0,0,65.3123
650000,1.61,0,0,64.789
655000,1.6,0,0,64.2633
660000,1.59,0,0,63.7351
665000,1.58,0,0,63.2044
670000,1.57,0,0,62.6711
675000,1.56,0,0,62.1353
680000,1.55,0,0,61.597
685000,1.54,0,0,61.056
690000,1.53,0,0,60.5124
695000,1.52,0,0,59.9661
700000,1.51,0,0,59.4171
705000,1.5,0,0,58.8653
710000,1.49,0,0,58.3108
715000,1.48,0,0,57.7535
720000,1.47,0,0,57.1934
725000,1.46,0,0,56.6304
730000,1.45,0,0,56.0645
735000,1.44,0,0,55.4957
740000,1.43,0,0,54.9239
745000,1.42,0,0,54.3491
750000,1.41,0,0,53.7713
755000,1.4,0,0,53.1903
760000,1.39,0,0,52.6063
765000,1.38,0,0,52.0191
770000,1.37,0,0,51.4287
775000,1.36,0,0,50.835
780000,1.35,0,0,50.2381
785000,1.34,0,0,49.6378
790000,1.33,0,0,49.0342
795000,1.32,0,0,48.4272
800000,1.31,0,0,47.8167
805000,1.3,0,0,47.2026
810000,1.29,0,0,46.5851
815000,1.28,0,0,45.9639
820000,1.27,0,0,45.3391
825000,1.26,0,0,44.7106
830000,1.25,0,0,44.0783
835000,1.24,0,0,43.4423
840000,1.23,0,0,42.8023
845000,1.22,0,0,42.1585
850000,1.21,0,0,41.5107
855000,1.2,0,0,40.8588
860000,1.19,0,0,40.2029
865000,1.18,0,0,39.5429
870000,1.17,0,0,38.8786
875000,1.16,0,0,38.21
880000,1.15,0,0,37.5371
885000,1.14,0,0,36.8598
890000,1.13,0,0,36.1781
895000,1.12,0,0,35.4918
900000,1.11,0,0,34.8009
905000,1.1,0,0,34.1053
910000,1.09,0,0,33.4049
915000,1.08,0,0,32.6997
920000,1.07,0,0,31.9896
925000,1.06,0,0,31.2745
930000,1.05,0,0,30.5543
935000,1.04,0,0,29.829
940000,1.03,0,0,29.0984
945000,1.02,0,0,28.3624
950000,1.01,0,0,27.6211
955000,1,0,0,26.8742
960000,0.99,0,0,26.1217
965000,0.98,0,0,25.3634
970000,0.97,0,0,24.5994
975000,0.96,0,0,23.8294
980000,0.95,0,0,23.0533
985000,0.94,0,0,22.2712
990000,0.93,0,0,21.4827
995000,0.92,0,0,20.6879
1000000,0.91,0,0,19.8865
1005000,0.9,0,0,19.0786
1010000,0.89,0,0,18.2638
1015000,0.88,0,0,17.4422
1020000,0.87,0,0,16.6136
1025000,0.86,0,0,15.7777
1030000,0.85,0,0,14.9346
1035000,0.84,0,0,14.0839
1040000,0.83,0,0,13.2257
1045000,0.82,0,0,12.3596
1050000,0.81,0,0,11.4856
1055000,0.8,0,0,10.6035
1060000,0.79,0,0,9.71304
1065000,0.78,0,0,8.8141
1070000,0.77,0,0,7.90648
1075000,0.76,0,0,6.98997
1080000,0.75,0,0,6.06437
1085000,0.74,0,0,5.12947
1090000,0.73,0,0,4.18504
1095000,0.72,0,0,3.23086
1100000,0.71,0,0,2.26669
1105000,0.7,0,0,1.29228
1110000,0.69,0,0,0.307369
1115000,0.68,0,0,-0.688303
1120000,0.67,0,0,-1.69501
1125000,0.66,0,0,-2.71306
1130000,0.65,0,0,-3.74274
1135000,0.64,0,0,-4.78438
1140000,0.63,0,0,-5.83829
1145000,0.62,0,0,-6.90483
1150000,0.61,0,0,-7.98435
1155000,0.6,0,0,-9.07722
1160000,0.59,0,0,-10.1838
1165000,0.58,0,0,-11.3046
1170000,0.57,0,0,-12.44
1175000,0.56,0,0,-13.5904
1180000,0.55,0,0,-14.7563
1185000,0.54,0,0,-15.9382
1190000,0.53,0,0,-17.1367
1195000,0.52,0,0,-18.3522
1200000,0.51,0,0,-19.5854
1205000,0.5,0,0,-20.8369
