t,L,a_w,a_b,a_g,temp
27600,1.53,0,0,0,60.5124
27800,1.52,0,0,0,59.9661
28000,1.51,0,0,0,59.4171
28200,1.5,0,0,0,58.8653
28400,1.49,0,0,0,58.3108
28600,1.48,0,0,0,57.7535
28800,1.47,0,0,0,57.1934
29000,1.46,0,0,0,56.6304
29200,1.45,0,0,0,56.0645
29400,1.44,0,0,0,55.4957
29600,1.43,0,0,0,54.9239
29800,1.42,0,0,0,54.3491
30000,1.41,0,0,0,53.7713
30200,1.4,0,0,0,53.1903
30400,1.39,0,0,0.00107356,52.6063
30600,1.38,0,0,0.00120363,52.0191
30800,1.37,0,0,0.00134704,51.4287
31000,1.36,0,0,0.00150479,50.835
31200,1.35,0,0,0.00167792,50.2381
31400,1.34,0,0,0.00186746,49.6378
31600,1.33,0,0,0.00207448,49.0342
31800,1.32,0,0,0.00230001,48.4272
32000,1.31,0,0,0.00254508,47.8167
32200,1.3,0,0,0.00281068,47.2026
32400,1.29,0,0,0.00309777,46.5851
32600,1.28,0,0,0.00340721,45.9639
32800,1.27,0,0,0.0037398,45.3391
33000,1.26,0,0,0.00409622,44.7106
33200,1.25,0,0,0.00447703,44.0783
33400,1.24,0,0,0.00488262,43.4423
33600,1.23,0,0,0.00531323,42.8023
33800,1.22,0,0,0.00576888,42.1585
34000,1.21,0,0,0.00624936,41.5107
34200,1.2,0,0,0.00675422,40.8588
34400,1.19,0,0,0.00728271,40.2029
34600,1.18,0,0,0.00783382,39.5429
34800,1.17,0,0,0.00840619,38.8786
35000,1.16,0,0,0.00899816,38.21
35200,1.15,0,0,0.00960766,37.5371
35400,1.14,0,0,0.0104765,36.8598
35600,1.13,0,0,0.0124022,36.1781
35800,1.12,0,0,0.0164783,35.4918
36000,1.11,0,0,0.0243529,34.8009
36200,1.1,0,0,0.039526,34.1053
36400,1.09,0,0,0.069016,33.4049
36600,1.08,0,0,0.125037,32.6997
36800,1.07,0,0,0.221189,31.9896
37000,1.06,0,0,0.353072,31.2745
37200,1.05,0,0,0.482372,30.5543
