t,L,a_w,a_b,l_w,l_b,temp
720000,1.47,0,0,nan,nan,61.2456
725000,1.46,0,0,nan,nan,60.6757
730000,1.45,0,0,nan,nan,60.1029
735000,1.44,0,0,nan,nan,59.5271
740000,1.43,0,0,nan,nan,58.9483
745000,1.42,0,0,nan,nan,58.3664
750000,1.41,0,0,nan,nan,57.7815
755000,1.4,0,0,nan,nan,57.1934
760000,1.39,0,0,nan,nan,56.6022
765000,1.38,0,0,nan,nan,56.0078
770000,1.37,0,0,nan,nan,55.4101
775000,1.36,0,0,nan,nan,54.8092
780000,1.35,0,0,nan,nan,54.2049
785000,1.34,0,0,nan,nan,53.5973
790000,1.33,0,0,nan,nan,52.9863
795000,1.32,0,0,nan,nan,52.3718
800000,1.31,0,0,nan,nan,51.7538
805000,1.3,0,0,nan,nan,51.1322
810000,1.29,0,0,nan,nan,50.5071
815000,1.28,0,0,nan,nan,49.8783
820000,1.27,0,0,nan,nan,49.2458
825000,1.26,0,0,nan,nan,48.6096
830000,1.25,0,0,nan,nan,47.9696
835000,1.24,0,0,nan,nan,47.3257
840000,1.23,0,0,nan,nan,46.6779
845000,1.22,0,0,nan,nan,46.0262
850000,1.21,0,0,nan,nan,45.3704
855000,1.2,0,0,nan,nan,44.7106
860000,1.19,0,0,nan,nan,44.0466
865000,1.18,0,0,nan,nan,43.3785
870000,1.17,0,0,nan,nan,42.706
875000,1.16,0,0,nan,nan,42.0293
880000,1.15,0,0,nan,nan,41.3481
885000,1.14,0,0,nan,nan,40.6625
890000,1.13,0,0,nan,nan,39.9724
895000,1.12,0,0,nan,nan,39.2777
900000,1.11,0,0,nan,nan,38.5783
905000,1.1,0,0,nan,nan,37.8741
910000,1.09,0,0,nan,nan,37.1652
915000,1.08,0,0,nan,nan,36.4513
920000,1.07,0,0,nan,nan,35.7325
925000,1.06,0,0,nan,nan,35.0086
930000,1.05,0,0,nan,nan,34.2796
935000,1.04,0,0,nan,nan,33.5453
940000,1.03,0,0,nan,nan,32.8058
945000,1.02,0,0,nan,nan,32.0608
950000,1.01,0,0,nan,nan,31.3104
955000,1,0,0,nan,nan,30.5543
960000,0.99,0,0,nan,nan,29.7925
965000,0.98,0,0,nan,nan,29.025
970000,0.97,0,0,nan,nan,28.2516
975000,0.96,0,0,nan,nan,27.4721
980000,0.95,0,0,nan,nan,26.6866
985000,0.94,0,0,nan,nan,25.8948
990000,0.93,0,0,nan,nan,25.0967
995000,0.92,0,0,nan,nan,24.2921
1000000,0.91,0,0,nan,nan,23.4809
1005000,0.9,0,0,nan,nan,22.663
1010000,0.89,0,0,nan,nan,21.8383
1015000,0.88,0,0,nan,nan,21.0066
1020000,0.87,0,0,nan,nan,20.1678
1025000,0.86,0,0,nan,nan,19.3217
1030000,0.85,0,0,nan,nan,18.4682
1035000,0.84,0,0,nan,nan,17.6071
1040000,0.83,0,0,nan,nan,16.7383
1045000,0.82,0,0,nan,nan,15.8616
1050000,0.81,0,0,nan,nan,14.9769
1055000,0.8,0,0,nan,nan,14.0839
1060000,0.79,0,0,nan,nan,13.1826
1065000,0.78,0,0,nan,nan,12.2726
1070000,0.77,0,0,nan,nan,11.3538
1075000,0.76,0,0,nan,nan,10.4261
1080000,0.75,0,0,nan,nan,9.48911
1085000,0.74,0,0,nan,nan,8.54273
1090000,0.73,0,0,nan,nan,7.58671
1095000,0.72,0,0,nan,nan,6.62082
1100000,0.71,0,0,nan,nan,5.64483
1105000,0.7,0,0,nan,nan,4.65846
1110000,0.69,0,0,nan,nan,3.66146
1115000,0.68,0,0,nan,nan,2.65357
1120000,0.67,0,0,nan,nan,1.6345
1125000,0.66,0,0,nan,nan,0.603963
1130000,0.65,0,0,nan,nan,-0.438358
1135000,0.64,0,0,nan,nan,-1.49278
1140000,0.63,0,0,nan,nan,-2.55962
1145000,0.62,0,0,nan,nan,-3.63924
1150000,0.61,0,0,nan,nan,-4.73201
1155000,0.6,0,0,nan,nan,-5.83829
1160000,0.59,0,0,nan,nan,-6.95849
1165000,0.58,0,0,nan,nan,-8.09303
1170000,0.57,0,0,nan,nan,-9.24232
1175000,0.56,0,0,nan,nan,-10.4068
1180000,0.55,0,0,nan,nan,-11.5871
1185000,0.54,0,0,nan,nan,-12.7835
1190000,0.53,0,0,nan,nan,-13.9967
1195000,0.52,0,0,nan,nan,-15.2271
1200000,0.51,0,0,nan,nan,-16.4755
1205000,0.5,0,0,nan,nan,-17.7423
